from_metric,to_metric,mean_slope,trend_slope,from_category,to_category,n_gages_mean,n_gages_trend
Qspr,n_high_pulses_year,0.327959927637846,0,Flow Volume,Pulse Metrics,5691,5691
Qspr,n_low_pulses_year,0.0908139687980269,0,Flow Volume,Pulse Metrics,5691,5691
Qspr,n_high_pulses_all,0.436052631608848,0,Flow Volume,Pulse Metrics,5691,5691
Qspr,n_low_pulses_all,0.242554204348232,0,Flow Volume,Pulse Metrics,5691,5691
Qspr,dur_high_pulses_year,-0.256809443908941,0,Flow Volume,Pulse Metrics,5691,5691
Qspr,dur_low_pulses_year,-0.0337953376029797,0,Flow Volume,Pulse Metrics,5634,5634
Qspr,dur_high_pulses_all,-0.244296569895973,0.0798782829269558,Flow Volume,Pulse Metrics,5691,5691
Qspr,dur_low_pulses_all,-0.106876902731333,-0.079144695875153,Flow Volume,Pulse Metrics,5378,5378
Qspr,TQmean,0.149352601815014,-0.0190398697309919,Flow Volume,Pulse Metrics,5691,5691
Qspr,Flow_Reversals_annual,0.0956531798406723,0.0874398346161521,Flow Volume,Flow Reversals,5691,5691
Qspr,Flow_Reversals_winter,-0.00561141912514281,0.00556383615088281,Flow Volume,Flow Reversals,5691,5691
Qspr,Flow_Reversals_spring,0.0849240236811871,0,Flow Volume,Flow Reversals,5691,5691
Qspr,Flow_Reversals_summer,0.139275152951054,0,Flow Volume,Flow Reversals,5691,5691
Qspr,Flow_Reversals_fall,0.156182234803013,0.0580539178477423,Flow Volume,Flow Reversals,5691,5691
Qspr,BFI_Eckhardt,-0.068371820309489,-0.0610665689626628,Flow Volume,Baseflow,5691,5691
Qspr,BFI_LyneHollick,-0.135598920752846,-0.0585846552124898,Flow Volume,Baseflow,5691,5691
Qspr,log_a_pointcloud,-0.665189050782122,0.00595395178707424,Flow Volume,Recession,974,974
Qspr,log_a_events,-0.70426016462789,-0.103160551272622,Flow Volume,Recession,1350,1350
Qspr,b_pointcloud,0.405989373501018,-0.00990470604039342,Flow Volume,Recession,974,974
Qspr,b_events,0.318274639274104,0.00739938975971071,Flow Volume,Recession,1350,1350
Qspr,concavity,-0.0520446657281321,0.0160531694014773,Flow Volume,Recession,1350,1350
Qspr,annual_runoff_ratio,0.608486758573032,0.36221285001336,Flow Volume,Runoff Ratios,5687,5687
Qspr,winter_runoff_ratio,0.602156938499229,0.137388583084601,Flow Volume,Runoff Ratios,5687,5687
Qspr,spring_runoff_ratio,0.807507719950324,0.566149316564838,Flow Volume,Runoff Ratios,5687,5687
Qspr,summer_runoff_ratio,0.0529253482389168,0.0538867437551428,Flow Volume,Runoff Ratios,5687,5687
